job_id,worker_id,class,subtime_s,lifetime_s
w0!w000112__enterprise,112,enterprise,32.322128,28.151059
w0!w000113__enterprise,113,enterprise,32.625982,13.005109
w0!w000114__enterprise,114,enterprise,32.706531,27.757699
w0!w000115__enterprise,115,enterprise,33.061145,15.541687
w0!w000116__freemium,116,freemium,33.310915,25.563533
w0!w000117__premium,117,premium,33.355532,24.236136
w0!w000118__freemium,118,freemium,34.243803,16.688868
w0!w000119__enterprise,119,enterprise,34.247168,14.054861
w0!w000120__premium,120,premium,34.42782,27.190505
w0!w000121__freemium,121,freemium,34.822208,25.900081
w0!w000122__enterprise,122,enterprise,34.851933,21.040064
w0!w000123__premium,123,premium,35.962144,26.68512
w0!w000124__freemium,124,freemium,35.966664,16.100901
w0!w000125__enterprise,125,enterprise,36.589509,26.2353
w0!w000126__freemium,126,freemium,36.655597,13.265993
w0!w000127__freemium,127,freemium,37.019768,22.865398
w0!w000128__freemium,128,freemium,37.218978,17.620093
w0!w000129__enterprise,129,enterprise,37.44352,27.930345
w0!w000130__freemium,130,freemium,37.985735,11.310172
w0!w000131__enterprise,131,enterprise,38.271881,21.809406
w0!w000132__freemium,132,freemium,38.832416,13.949907
w0!w000133__enterprise,133,enterprise,38.96563,17.045455
w0!w000134__freemium,134,freemium,39.296736,24.340522
w0!w000135__freemium,135,freemium,39.639662,29.657586
w0!w000136__premium,136,premium,40.197426,13.145566
w0!w000137__freemium,137,freemium,40.641885,10.500024
w0!w000138__enterprise,138,enterprise,40.690815,25.383993
w0!w000139__freemium,139,freemium,40.795682,10.822724
w0!w000140__premium,140,premium,41.672016,12.264737
w0!w000141__premium,141,premium,41.719518,17.005039
w0!w000142__premium,142,premium,41.872349,25.687795
w0!w000143__enterprise,143,enterprise,42.299399,28.270149
w0!w000144__freemium,144,freemium,42.735598,11.433954
w0!w000145__premium,145,premium,42.799765,23.049882
w0!w000146__enterprise,146,enterprise,44.596288,18.365057
w0!w000147__enterprise,147,enterprise,44.969209,26.003571
w0!w000148__premium,148,premium,45.85499,11.094883
w0!w000149__freemium,149,freemium,45.860139,19.111221
w0!w000150__freemium,150,freemium,45.945725,26.824921
w0!w000151__premium,151,premium,46.083564,18.177962
w0!w000152__enterprise,152,enterprise,46.129391,21.316208
w0!w000153__premium,153,premium,46.396857,19.999822
w0!w000154__enterprise,154,enterprise,46.508754,14.625779
w0!w000155__enterprise,155,enterprise,46.578149,29.561861
w0!w000156__freemium,156,freemium,46.722594,14.548175
w0!w000157__enterprise,157,enterprise,46.826648,27.660576
w0!w000158__premium,158,premium,46.946459,27.274881
w0!w000159__enterprise,159,enterprise,47.84014,19.994729
w0!w000160__freemium,160,freemium,48.206663,28.674199
w0!w000161__enterprise,161,enterprise,48.568822,27.508837
w0!w000162__premium,162,premium,48.605634,14.694109
w0!w000163__premium,163,premium,48.702486,15.019051
w0!w000164__freemium,164,freemium,48.806913,17.106011
w0!w000165__premium,165,premium,48.867887,20.232231
w0!w000166__premium,166,premium,48.99913,11.783345
w0!w000167__enterprise,167,enterprise,49.280963,26.135294
w0!w000168__freemium,168,freemium,49.426746,10.932251
w0!w000169__freemium,169,freemium,49.6774,22.786192
w0!w000170__freemium,170,freemium,49.703262,18.007492
w0!w000171__premium,171,premium,49.912208,20.866958
w0!w000172__premium,172,premium,50.625752,17.564382
w0!w000173__freemium,173,freemium,50.83798,18.27058
w0!w000174__freemium,174,freemium,51.668446,25.385549
w0!w000175__premium,175,premium,53.573188,11.392542
w0!w000176__premium,176,premium,53.613066,10.710645
w0!w000177__enterprise,177,enterprise,54.442826,29.601119
w0!w000178__freemium,178,freemium,55.184336,19.991052
w0!w000179__premium,179,premium,55.242885,11.156443
w0!w000180__freemium,180,freemium,55.609023,18.299896
w0!w000181__enterprise,181,enterprise,55.718091,19.766999
w0!w000182__enterprise,182,enterprise,55.969303,27.819574
w0!w000183__enterprise,183,enterprise,55.978564,27.951459
w0!w000184__enterprise,184,enterprise,56.073671,15.746041
w0!w000185__freemium,185,freemium,56.152608,22.180067
w0!w000186__premium,186,premium,56.803118,15.35298
w0!w000187__premium,187,premium,57.018747,18.51163
w0!w000188__enterprise,188,enterprise,57.121162,16.85766
w0!w000189__premium,189,premium,57.226356,23.104981
w0!w000190__freemium,190,freemium,57.614977,16.799223
w0!w000191__enterprise,191,enterprise,57.715935,24.739146
w0!w000192__premium,192,premium,57.911946,22.79732
w0!w000193__enterprise,193,enterprise,58.374871,26.937819
w0!w000194__enterprise,194,enterprise,58.747834,17.667361
w0!w000195__premium,195,premium,59.033789,14.20334
w0!w000196__enterprise,196,enterprise,59.796422,17.407226
w0!w000197__premium,197,premium,59.862445,27.164397
w0!w000198__freemium,198,freemium,60.137241,25.917185
w0!w000199__freemium,199,freemium,60.141646,19.548181
w0!w000200__premium,200,premium,60.296111,12.854262
w0!w000201__premium,201,premium,61.089797,25.221289
w0!w000202__premium,202,premium,61.416829,10.721203
w0!w000203__premium,203,premium,61.562946,24.537106
w0!w000204__enterprise,204,enterprise,61.640801,23.623995
w0!w000205__enterprise,205,enterprise,62.106925,16.838294
w0!w000206__premium,206,premium,62.179892,16.797572
w0!w000207__enterprise,207,enterprise,62.574574,18.944566
w0!w000208__freemium,208,freemium,62.712237,28.585026
w0!w000209__enterprise,209,enterprise,62.777539,14.264331
w0!w000210__freemium,210,freemium,63.037638,10.407232
w0!w000211__premium,211,premium,63.532305,16.951044
w0!w000212__freemium,212,freemium,63.695083,16.625854
w0!w000213__freemium,213,freemium,63.974761,15.440654
w0!w000214__premium,214,premium,64.880935,23.861662
w0!w000215__enterprise,215,enterprise,65.319274,17.526761
w0!w000216__freemium,216,freemium,65.439382,28.427519
w0!w000217__freemium,217,freemium,65.552463,28.850321
w0!w000218__freemium,218,freemium,65.880227,19.265722
w0!w000219__enterprise,219,enterprise,66.073804,22.866413
w0!w000220__enterprise,220,enterprise,66.384132,15.727498
w0!w000221__premium,221,premium,66.930252,12.762585
w0!w000222__freemium,222,freemium,67.180328,19.827096
w0!w000223__freemium,223,freemium,67.393228,10.77233
w0!w000224__enterprise,224,enterprise,67.801884,28.230585
w0!w000225__premium,225,premium,67.946281,16.41294
w0!w000226__freemium,226,freemium,68.08217,22.71354
w0!w000227__freemium,227,freemium,68.094721,26.217641
w0!w000228__premium,228,premium,68.347474,18.550187
w0!w000229__enterprise,229,enterprise,68.667169,25.340743
w0!w000230__enterprise,230,enterprise,69.1085,21.012797
w0!w000231__freemium,231,freemium,69.520379,18.944146
w0!w000232__enterprise,232,enterprise,69.620275,19.680786
w0!w000233__premium,233,premium,69.715241,17.472279
w0!w000234__freemium,234,freemium,69.809435,14.244088
w0!w000235__freemium,235,freemium,69.858415,16.662035
w0!w000236__freemium,236,freemium,70.154496,15.641467
w0!w000237__enterprise,237,enterprise,70.166498,10.126231
w0!w000238__enterprise,238,enterprise,70.242701,25.831218
w0!w000239__premium,239,premium,70.316063,20.821252
w0!w000240__premium,240,premium,70.605182,11.601719
w0!w000241__premium,241,premium,70.782445,16.766031
w0!w000242__premium,242,premium,71.00224,16.693693
w0!w000243__freemium,243,freemium,71.005342,21.584829
w0!w000244__premium,244,premium,71.999489,22.476999
w0!w000245__freemium,245,freemium,72.306634,16.888059
w0!w000246__freemium,246,freemium,72.364797,28.05356
w0!w000247__enterprise,247,enterprise,72.635487,24.658438
w0!w000248__premium,248,premium,72.713098,25.548723
w0!w000249__enterprise,249,enterprise,73.04563,27.127084
w0!w000250__premium,250,premium,73.181071,23.446545
w0!w000251__premium,251,premium,73.51915,26.064142
w0!w000252__enterprise,252,enterprise,73.689333,16.195039
w0!w000253__premium,253,premium,73.863159,21.514663
w0!w000254__enterprise,254,enterprise,73.871861,19.618834
w0!w000255__enterprise,255,enterprise,74.984395,25.47478
w0!w000256__premium,256,premium,75.170426,16.458473
w0!w000257__freemium,257,freemium,75.382086,21.968339
w0!w000258__freemium,258,freemium,75.626313,13.599807
w0!w000259__enterprise,259,enterprise,76.00087,18.910016
w0!w000260__enterprise,260,enterprise,76.064158,11.058009
w0!w000261__freemium,261,freemium,76.177503,21.093977
w0!w000262__premium,262,premium,76.518525,20.193785
w0!w000263__enterprise,263,enterprise,76.669362,27.656045
w0!w000264__premium,264,premium,76.720311,22.786611
w0!w000265__enterprise,265,enterprise,77.163063,25.085351
w0!w000266__enterprise,266,enterprise,77.200482,13.232146
w0!w000267__premium,267,premium,78.664126,21.311679
w0!w000268__premium,268,premium,79.004069,11.226475
w0!w000269__enterprise,269,enterprise,79.483243,17.212478
w0!w000270__freemium,270,freemium,79.533813,17.228268
w0!w000271__freemium,271,freemium,79.59842,29.069797
w0!w000272__enterprise,272,enterprise,79.845419,27.914983
w0!w000273__freemium,273,freemium,80.268097,28.727562
w0!w000274__freemium,274,freemium,80.277026,15.15637
w0!w000275__enterprise,275,enterprise,80.337275,23.905418
w0!w000276__premium,276,premium,80.345583,29.199106
w0!w000277__premium,277,premium,80.706239,11.860017
w0!w000278__enterprise,278,enterprise,81.096346,16.064169
w0!w000279__freemium,279,freemium,81.129944,16.282551
w0!w000280__enterprise,280,enterprise,81.291348,25.622764
w0!w000281__premium,281,premium,81.704345,26.82244
w0!w000282__premium,282,premium,82.387087,29.849686
w0!w000283__freemium,283,freemium,82.521827,18.725233
w0!w000284__enterprise,284,enterprise,82.60117,16.766838
w0!w000285__premium,285,premium,83.022516,17.885589
w0!w000286__enterprise,286,enterprise,83.060198,23.138581
w0!w000287__enterprise,287,enterprise,83.147447,21.039537
w0!w000288__premium,288,premium,83.291281,19.982106
w0!w000289__freemium,289,freemium,83.336405,29.16164
w0!w000290__premium,290,premium,83.681928,14.979111
w0!w000291__enterprise,291,enterprise,84.347927,17.126144
w0!w000292__premium,292,premium,84.384534,20.42149
w0!w000293__freemium,293,freemium,84.863444,16.971941
w0!w000294__premium,294,premium,84.888657,20.669402
w0!w000295__enterprise,295,enterprise,85.560111,10.874439
w0!w000296__freemium,296,freemium,85.87609,17.25227
w0!w000297__freemium,297,freemium,86.331317,17.424787
w0!w000298__premium,298,premium,86.868942,23.923681
w0!w000299__freemium,299,freemium,87.437025,13.085753
w0!w000300__premium,300,premium,87.760326,15.305587
w0!w000301__enterprise,301,enterprise,88.096482,11.727109
w0!w000302__enterprise,302,enterprise,88.139988,14.900893
w0!w000303__enterprise,303,enterprise,88.311989,13.661568
w0!w000304__premium,304,premium,88.509209,19.027509
w0!w000305__freemium,305,freemium,88.592404,12.769521
w0!w000306__premium,306,premium,89.269114,16.374211
w0!w000307__enterprise,307,enterprise,89.821413,23.142397
w0!w000308__freemium,308,freemium,89.907261,20.793896
w0!w000309__freemium,309,freemium,90.034683,18.993852
w0!w000310__freemium,310,freemium,90.050148,15.220314
w0!w000311__enterprise,311,enterprise,90.21087,26.124564
w0!w000312__freemium,312,freemium,90.812765,19.08947
w0!w000313__premium,313,premium,91.142589,17.692477
w0!w000314__enterprise,314,enterprise,92.187713,11.9386
w0!w000315__freemium,315,freemium,92.651899,18.983531
w0!w000316__freemium,316,freemium,92.921412,16.91326
w0!w000317__enterprise,317,enterprise,93.044831,26.474497
w0!w000318__enterprise,318,enterprise,93.177069,20.704566
w0!w000319__enterprise,319,enterprise,93.660927,20.785896
w0!w000320__premium,320,premium,94.061155,28.722428
w0!w000321__premium,321,premium,94.232103,15.327777
w0!w000322__enterprise,322,enterprise,94.82801,28.495994
w0!w000323__freemium,323,freemium,95.416379,18.450903
w0!w000324__enterprise,324,enterprise,95.760944,24.501803
w0!w000325__enterprise,325,enterprise,95.914198,16.539661
w0!w000326__enterprise,326,enterprise,96.154801,14.585948
w0!w000327__enterprise,327,enterprise,96.212217,16.802534
w0!w000328__enterprise,328,enterprise,96.447457,17.854402
w0!w000329__freemium,329,freemium,96.463469,27.222645
w0!w000330__freemium,330,freemium,96.976423,12.581152
w0!w000331__freemium,331,freemium,97.721208,15.173988
w0!w000332__freemium,332,freemium,98.342361,18.318126
w0!w000333__premium,333,premium,98.762402,16.057931
w0!w000334__enterprise,334,enterprise,99.084094,14.376662
w0!w000335__freemium,335,freemium,99.153133,16.835456
w0!w000336__premium,336,premium,99.464037,23.988167
w0!w000337__freemium,337,freemium,99.70105,10.276721
w0!w000338__premium,338,premium,100.737683,16.198569
w0!w000339__freemium,339,freemium,100.773826,13.290719
w0!w000340__premium,340,premium,100.844318,22.411518
w0!w000341__premium,341,premium,100.900786,16.643358
w0!w000342__freemium,342,freemium,102.251857,23.637741
w0!w000343__freemium,343,freemium,102.34049,29.025703
w0!w000344__freemium,344,freemium,102.454741,28.564824
w0!w000345__freemium,345,freemium,102.487672,17.629011
w0!w000346__premium,346,premium,102.813293,20.585679
w0!w000347__enterprise,347,enterprise,103.075639,28.956763
w0!w000348__premium,348,premium,103.302751,24.116105
w0!w000349__premium,349,premium,103.311231,25.279925
w0!w000350__enterprise,350,enterprise,103.97488,17.795602
w0!w000351__freemium,351,freemium,104.269934,20.4468
w0!w000352__freemium,352,freemium,104.348294,21.896294
w0!w000353__premium,353,premium,104.374208,29.364469
w0!w000354__freemium,354,freemium,104.615714,18.629345
w0!w000355__premium,355,premium,104.618133,26.883118
w0!w000356__enterprise,356,enterprise,105.344816,12.917881
w0!w000357__premium,357,premium,105.606778,20.471418
w0!w000358__freemium,358,freemium,105.82503,19.219843
w0!w000359__freemium,359,freemium,105.896895,14.903805
w0!w000360__enterprise,360,enterprise,106.382757,14.309857
w0!w000361__freemium,361,freemium,106.487181,28.895288
w0!w000362__enterprise,362,enterprise,106.648287,19.884514
w0!w000363__premium,363,premium,107.027365,28.479499
w0!w000364__premium,364,premium,107.076927,18.212392
w0!w000365__enterprise,365,enterprise,107.463831,18.397979
w0!w000366__premium,366,premium,107.499792,16.401285
w0!w000367__premium,367,premium,107.728572,10.897495
w0!w000368__freemium,368,freemium,108.036436,15.397218
w0!w000369__premium,369,premium,108.807511,11.860522
w0!w000370__freemium,370,freemium,109.146862,13.461981
w0!w000371__premium,371,premium,109.303333,16.561105
w0!w000372__premium,372,premium,109.715764,13.722432
w0!w000373__premium,373,premium,110.208259,21.478794
w0!w000374__enterprise,374,enterprise,110.401343,14.017337
w0!w000375__premium,375,premium,110.75155,14.571218
w0!w000376__freemium,376,freemium,110.99025,15.063693
w0!w000377__premium,377,premium,111.037675,20.175636
w0!w000378__premium,378,premium,111.722769,23.736456
w0!w000379__freemium,379,freemium,111.764571,27.625668
w0!w000380__premium,380,premium,112.033128,22.802084
w0!w000381__premium,381,premium,112.170437,20.197712
w0!w000382__premium,382,premium,112.29733,16.479964
w0!w000383__freemium,383,freemium,112.759565,28.703263
w0!w000384__freemium,384,freemium,112.864372,19.726598
w0!w000385__enterprise,385,enterprise,112.904637,10.725772
w0!w000386__freemium,386,freemium,114.01838,29.687925
w0!w000387__premium,387,premium,114.383329,21.012798
w0!w000388__premium,388,premium,114.710503,19.537839
w0!w000389__premium,389,premium,115.273966,12.266113
w0!w000390__enterprise,390,enterprise,115.875134,18.156581
w0!w000391__freemium,391,freemium,116.567923,16.839993
w0!w000392__enterprise,392,enterprise,116.590828,29.975725
w0!w000393__enterprise,393,enterprise,116.621635,19.727376
w0!w000394__freemium,394,freemium,117.58264,23.251668
w0!w000395__premium,395,premium,117.864722,17.704577
w0!w000396__enterprise,396,enterprise,117.920873,29.576491
w0!w000397__enterprise,397,enterprise,118.145499,17.323476
w0!w000398__premium,398,premium,118.174408,24.047716
w0!w000399__freemium,399,freemium,118.671581,19.570729
w0!w000400__premium,400,premium,119.173275,24.386148
w0!w000401__enterprise,401,enterprise,119.176942,21.746439
w0!w000402__freemium,402,freemium,119.944357,10.194175
w0!w000403__freemium,403,freemium,119.950322,27.936858
w0!w000404__freemium,404,freemium,120.304507,18.173584
w0!w000405__premium,405,premium,120.463735,26.884946
w0!w000406__enterprise,406,enterprise,120.671775,29.090984
w0!w000407__enterprise,407,enterprise,120.816664,23.252219
w0!w000408__freemium,408,freemium,121.255616,28.16997
w0!w000409__premium,409,premium,121.689469,25.069854
w0!w000410__premium,410,premium,122.074811,10.338481
w0!w000411__freemium,411,freemium,122.310542,14.827062
w0!w000412__freemium,412,freemium,122.31225,16.624414
w0!w000413__enterprise,413,enterprise,122.623864,18.050412
w0!w000414__freemium,414,freemium,122.798112,10.799559
w0!w000415__enterprise,415,enterprise,122.81551,27.868218
w0!w000416__enterprise,416,enterprise,122.904989,18.331336
w0!w000417__enterprise,417,enterprise,123.469808,14.185682
w0!w000418__premium,418,premium,124.820656,18.576187
w0!w000419__freemium,419,freemium,125.038274,12.025242
w0!w000420__premium,420,premium,125.656765,27.452149
w0!w000421__enterprise,421,enterprise,125.96711,21.322022
w0!w000422__enterprise,422,enterprise,126.089656,28.52795
w0!w000423__freemium,423,freemium,126.094736,26.043085
w0!w000424__freemium,424,freemium,126.236144,15.546674
w0!w000425__enterprise,425,enterprise,126.862875,19.975558
w0!w000426__freemium,426,freemium,126.87352,22.22993
w0!w000427__premium,427,premium,126.941732,24.12815
w0!w000428__premium,428,premium,127.132287,29.213337
w0!w000429__premium,429,premium,128.212559,10.424577
w0!w000430__enterprise,430,enterprise,128.397558,14.569242
w0!w000431__premium,431,premium,128.654363,15.581401
w0!w000432__enterprise,432,enterprise,129.701966,27.549152
w0!w000433__freemium,433,freemium,130.330365,23.574553
w0!w000434__enterprise,434,enterprise,131.383655,10.446453
w0!w000435__freemium,435,freemium,131.392058,24.558006
w0!w000436__freemium,436,freemium,132.088014,14.973005
w0!w000437__premium,437,premium,132.491709,13.564239
w0!w000438__enterprise,438,enterprise,132.808232,21.232843
w0!w000439__enterprise,439,enterprise,132.977904,25.241071
w0!w000440__premium,440,premium,133.426391,10.261724
w0!w000441__enterprise,441,enterprise,133.56354,12.343975
w0!w000442__enterprise,442,enterprise,133.76683,10.361489
w0!w000443__premium,443,premium,134.092639,18.722009
w0!w000444__enterprise,444,enterprise,134.227455,25.324744
w0!w000445__premium,445,premium,134.302744,24.473951
w0!w000446__freemium,446,freemium,134.738197,17.633021
w0!w000447__enterprise,447,enterprise,134.858369,18.958574
w0!w000448__enterprise,448,enterprise,135.966409,15.031908
w0!w000449__enterprise,449,enterprise,135.969067,23.639429
w0!w000450__premium,450,premium,136.043447,14.639101
w0!w000451__premium,451,premium,136.133319,16.199872
w0!w000452__premium,452,premium,136.490917,17.049886
w0!w000453__freemium,453,freemium,136.770682,29.501882
w0!w000454__premium,454,premium,136.886494,13.299174
w0!w000455__premium,455,premium,137.214574,20.303849
w0!w000456__enterprise,456,enterprise,137.827559,21.818911
w0!w000457__premium,457,premium,138.272764,10.884511
w0!w000458__enterprise,458,enterprise,138.366522,20.047057
w0!w000459__enterprise,459,enterprise,138.457869,13.645789
w0!w000460__enterprise,460,enterprise,138.465585,27.207485
w0!w000461__premium,461,premium,138.488591,29.605227
w0!w000462__enterprise,462,enterprise,138.571551,22.055597
w0!w000463__premium,463,premium,138.810662,12.068599
w0!w000464__freemium,464,freemium,139.518883,13.619812
w0!w000465__premium,465,premium,140.101558,15.25108
w0!w000466__enterprise,466,enterprise,140.150687,16.840069
w0!w000467__enterprise,467,enterprise,140.434536,28.081646
w0!w000468__premium,468,premium,140.516077,25.562725
w0!w000469__freemium,469,freemium,140.584051,21.496335
w0!w000470__enterprise,470,enterprise,140.678127,13.275993
w0!w000471__freemium,471,freemium,140.721904,28.097306
w0!w000472__premium,472,premium,140.791462,23.92728
w0!w000473__freemium,473,freemium,140.855884,21.214581
w0!w000474__enterprise,474,enterprise,140.927144,22.86155
w0!w000475__premium,475,premium,142.025739,22.093101
w0!w000476__premium,476,premium,142.670943,23.916427
w0!w000477__freemium,477,freemium,143.203117,13.498351
w0!w000478__freemium,478,freemium,143.23065,23.589831
w0!w000479__freemium,479,freemium,143.494118,23.759578
w0!w000480__freemium,480,freemium,143.589147,14.815791
w0!w000481__freemium,481,freemium,143.781385,27.422917
w0!w000482__enterprise,482,enterprise,144.410447,23.535893
w0!w000483__premium,483,premium,144.812625,29.144026
w0!w000484__enterprise,484,enterprise,145.320753,12.245588
w0!w000485__enterprise,485,enterprise,145.549683,14.811187
w0!w000486__enterprise,486,enterprise,145.77576,19.794236
w0!w000487__freemium,487,freemium,145.815516,29.182132
w0!w000488__premium,488,premium,146.019838,27.292818
w0!w000489__enterprise,489,enterprise,146.135904,29.445041
w0!w000490__freemium,490,freemium,146.431074,25.717773
w0!w000491__freemium,491,freemium,146.608518,27.820114
w0!w000492__premium,492,premium,146.798993,26.905178
w0!w000493__freemium,493,freemium,146.828051,18.875008
w0!w000494__freemium,494,freemium,147.614466,19.742503
w0!w000495__freemium,495,freemium,148.266509,13.492856
w0!w000496__freemium,496,freemium,148.347293,23.232252
w0!w000497__freemium,497,freemium,148.596315,19.377813
w0!w000498__freemium,498,freemium,148.695071,21.705498
w0!w000499__freemium,499,freemium,148.706185,25.243359
w0!w000500__freemium,500,freemium,148.760371,18.513098
w0!w000501__enterprise,501,enterprise,148.992978,21.790283
w0!w000502__freemium,502,freemium,149.015576,23.482299
w0!w000503__freemium,503,freemium,149.09834,14.430268
w0!w000504__freemium,504,freemium,149.574179,20.390519
w0!w000505__freemium,505,freemium,149.868227,13.617788
w0!w000506__enterprise,506,enterprise,150.152396,17.179868
w0!w000507__enterprise,507,enterprise,150.21891,24.781364
w0!w000508__premium,508,premium,150.278668,19.842928
w0!w000509__premium,509,premium,150.534702,21.780718
w0!w000510__enterprise,510,enterprise,150.828867,10.661509
w0!w000511__enterprise,511,enterprise,151.213734,11.289846
w0!w000512__premium,512,premium,151.940465,12.489809
w0!w000513__freemium,513,freemium,152.722813,18.660125
w0!w000514__freemium,514,freemium,152.76652,12.222181
w0!w000515__premium,515,premium,152.809681,21.626154
